win,lose,probability
Philadelphia 76ers,Boston Celtics,0.5007108387221767
Golden State Warriors,Oklahoma City Thunder,0.6213732360108299
Milwaukee Bucks,Charlotte Hornets,0.6127032473830752
Detroit Pistons,Brooklyn Nets,0.7176115419469877
Houston Rockets,New Orleans Pelicans,0.6883850012437793
Indiana Pacers,Memphis Grizzlies,0.8746585917220521
Denver Nuggets,Los Angeles Clippers,0.6009379299913711
New York Knicks,Atlanta Hawks,0.6611413461560047
Miami Heat,Orlando Magic,0.7818598354245655
Dallas Mavericks,Phoenix Suns,0.5449816406444108
Utah Jazz,Sacramento Kings,0.8489650109528734
San Antonio Spurs,Minnesota Timberwolves,0.5031972063155516
Toronto Raptors,Cleveland Cavaliers,0.6442152276979054
Philadelphia 76ers,Chicago Bulls,0.8946050340211062
Portland Trail Blazers,Los Angeles Lakers,0.7253780600200503
Miami Heat,Washington Wizards,0.524529671019843
Brooklyn Nets,New York Knicks,0.5388284152916019
Oklahoma City Thunder,Los Angeles Clippers,0.6215859392630225
Memphis Grizzlies,Atlanta Hawks,0.5078448531059514
Indiana Pacers,Milwaukee Bucks,0.5970123614110685
Cleveland Cavaliers,Minnesota Timberwolves,0.5262575225377011
New Orleans Pelicans,Sacramento Kings,0.8454166411060305
Charlotte Hornets,Orlando Magic,0.63940863688753
Toronto Raptors,Boston Celtics,0.5490937599294156
Golden State Warriors,Utah Jazz,0.6454935159960589
Detroit Pistons,Chicago Bulls,0.7017482804388172
Minnesota Timberwolves,Dallas Mavericks,0.7885737600047408
Denver Nuggets,Phoenix Suns,0.9116787494885814
Indiana Pacers,Brooklyn Nets,0.8008953051848484
Houston Rockets,Los Angeles Lakers,0.8690535216040617
Miami Heat,Charlotte Hornets,0.6337457700524576
Boston Celtics,New York Knicks,0.8249616774420976
Philadelphia 76ers,Orlando Magic,0.8817095632568825
San Antonio Spurs,Portland Trail Blazers,0.5055805353144986
Toronto Raptors,Washington Wizards,0.7247020105571071
Cleveland Cavaliers,Atlanta Hawks,0.8582147555159889
Golden State Warriors,Denver Nuggets,0.6709439915484179
Houston Rockets,Los Angeles Clippers,0.8302033525553558
Oklahoma City Thunder,Sacramento Kings,0.8583335846880106
Boston Celtics,Orlando Magic,0.875339369534857
Dallas Mavericks,Chicago Bulls,0.6068098634075856
Golden State Warriors,Phoenix Suns,0.9534897887043706
San Antonio Spurs,Los Angeles Lakers,0.6793354376821802
Milwaukee Bucks,New York Knicks,0.7591495452607889
Indiana Pacers,Minnesota Timberwolves,0.525242622128205
Portland Trail Blazers,Washington Wizards,0.5372702887629013
Toronto Raptors,Charlotte Hornets,0.8172114794958462
Utah Jazz,Memphis Grizzlies,0.885115316448526
Denver Nuggets,Sacramento Kings,0.8382335179557814
Philadelphia 76ers,Detroit Pistons,0.6890498210489623
New Orleans Pelicans,Los Angeles Clippers,0.6141045437766834
Atlanta Hawks,Dallas Mavericks,0.5290890323326782
Charlotte Hornets,Chicago Bulls,0.6325653590545445
Cleveland Cavaliers,Brooklyn Nets,0.81855322469153
Golden State Warriors,Washington Wizards,0.6722049931287926
Houston Rockets,Utah Jazz,0.6422684408528307
Miami Heat,New York Knicks,0.7666666394148088
Philadelphia 76ers,Milwaukee Bucks,0.6450551182620085
Los Angeles Lakers,Phoenix Suns,0.711278844180986
Sacramento Kings,Memphis Grizzlies,0.6329846426621621
Indiana Pacers,San Antonio Spurs,0.5285701742948502
Toronto Raptors,Minnesota Timberwolves,0.6737008596595189
Cleveland Cavaliers,Detroit Pistons,0.6446054747226222
Denver Nuggets,Los Angeles Lakers,0.6714877342397298
Boston Celtics,Oklahoma City Thunder,0.5964391668242456
Portland Trail Blazers,Orlando Magic,0.8173385183012505
Charlotte Hornets,Chicago Bulls,0.7594469685766952
Houston Rockets,Los Angeles Clippers,0.792292201928099
Minnesota Timberwolves,Milwaukee Bucks,0.5419189768134228
New Orleans Pelicans,Brooklyn Nets,0.8071629727853092
Golden State Warriors,New York Knicks,0.8475825187300032
Washington Wizards,Sacramento Kings,0.7943833136960238
Toronto Raptors,Dallas Mavericks,0.9104537515117669
Atlanta Hawks,Chicago Bulls,0.5677171928604421
Indiana Pacers,Cleveland Cavaliers,0.5043519534134531
Boston Celtics,Detroit Pistons,0.7295039061323435
Memphis Grizzlies,Phoenix Suns,0.6668555269656304
Portland Trail Blazers,Miami Heat,0.5932217752311981
Milwaukee Bucks,Orlando Magic,0.7948621770183099
Utah Jazz,New Orleans Pelicans,0.5717453797153013
Philadelphia 76ers,Charlotte Hornets,0.7615129061086521
San Antonio Spurs,Los Angeles Lakers,0.7080260739643687
Golden State Warriors,Brooklyn Nets,0.8756240353437617
Utah Jazz,Dallas Mavericks,0.8375642950328627
Washington Wizards,Los Angeles Clippers,0.5679498054680981
Oklahoma City Thunder,Phoenix Suns,0.923485988991353
Golden State Warriors,Chicago Bulls,0.8817626865622525
New Orleans Pelicans,Denver Nuggets,0.5338413475453173
Portland Trail Blazers,Indiana Pacers,0.5393967820935504
Miami Heat,Sacramento Kings,0.8084437538631011
Toronto Raptors,Milwaukee Bucks,0.743966819837087
Minnesota Timberwolves,Los Angeles Lakers,0.7107779477520838
New York Knicks,Brooklyn Nets,0.59252653139371
Philadelphia 76ers,Atlanta Hawks,0.8888601151876508
San Antonio Spurs,Dallas Mavericks,0.8329951899631526
Boston Celtics,Detroit Pistons,0.6875929155363532
Miami Heat,Charlotte Hornets,0.6298946483553381
Cleveland Cavaliers,Atlanta Hawks,0.8582147555159889
Houston Rockets,Portland Trail Blazers,0.680498918417961
Washington Wizards,Memphis Grizzlies,0.8331731100028249
Oklahoma City Thunder,Los Angeles Clippers,0.6380753447414911
Orlando Magic,Sacramento Kings,0.5790344742329294
Toronto Raptors,Philadelphia 76ers,0.5971095661378565
Detroit Pistons,Brooklyn Nets,0.6895541161253373
Denver Nuggets,Chicago Bulls,0.8022838291738547
Golden State Warriors,New Orleans Pelicans,0.6342695024952985
Los Angeles Lakers,Dallas Mavericks,0.7239399583735284
Utah Jazz,Minnesota Timberwolves,0.5738870380134871
Indiana Pacers,New York Knicks,0.7594313594536365
San Antonio Spurs,Phoenix Suns,0.8693500025429245
Atlanta Hawks,Sacramento Kings,0.5464847023846013
Boston Celtics,Milwaukee Bucks,0.6155316261707888
Oklahoma City Thunder,Charlotte Hornets,0.6840242554773167
Cleveland Cavaliers,Denver Nuggets,0.5062473422488227
Philadelphia 76ers,Los Angeles Clippers,0.6938337213013959
New Orleans Pelicans,Portland Trail Blazers,0.5045597452580758
Houston Rockets,Brooklyn Nets,0.9255818725014027
Indiana Pacers,Chicago Bulls,0.808923247777787
Dallas Mavericks,New York Knicks,0.5243583085560822
Golden State Warriors,Minnesota Timberwolves,0.6608505591898709
Los Angeles Clippers,Orlando Magic,0.7141623494034368
Toronto Raptors,Phoenix Suns,0.9292669008120038
Utah Jazz,Memphis Grizzlies,0.885115316448526
Oklahoma City Thunder,Washington Wizards,0.5838894167726005
Miami Heat,Atlanta Hawks,0.8035878778114451
Houston Rockets,Chicago Bulls,0.9294534786861758
Cleveland Cavaliers,Charlotte Hornets,0.6752191693656575
Utah Jazz,Denver Nuggets,0.5849018389061557
Boston Celtics,Indiana Pacers,0.6301481389829159
Philadelphia 76ers,Detroit Pistons,0.7002719259642696
Portland Trail Blazers,Los Angeles Lakers,0.7253780600200503
New Orleans Pelicans,San Antonio Spurs,0.5259069443500616
Philadelphia 76ers,Brooklyn Nets,0.8305835741726891
Toronto Raptors,Los Angeles Lakers,0.8070536469325383
Milwaukee Bucks,Sacramento Kings,0.8019248316763199
Phoenix Suns,Memphis Grizzlies,0.5431554329295138
Portland Trail Blazers,Minnesota Timberwolves,0.5245477922219594
San Antonio Spurs,Orlando Magic,0.8365956821007527
Washington Wizards,New York Knicks,0.7767463907999088
Boston Celtics,Denver Nuggets,0.633445053237019
Miami Heat,Detroit Pistons,0.5975550477240854
Golden State Warriors,Memphis Grizzlies,0.9318061106539395
Houston Rockets,Indiana Pacers,0.7802939875056749
Minnesota Timberwolves,Los Angeles Clippers,0.5804398525830646
New York Knicks,Chicago Bulls,0.6743446654124221
Oklahoma City Thunder,New Orleans Pelicans,0.5052003510431555
Cleveland Cavaliers,Orlando Magic,0.8140674933169453
Toronto Raptors,Utah Jazz,0.6696816614439901
Charlotte Hornets,Atlanta Hawks,0.7484067132133962
Washington Wizards,Dallas Mavericks,0.779930556980362
Brooklyn Nets,Phoenix Suns,0.5933521756201318
Portland Trail Blazers,Milwaukee Bucks,0.559763597847035
New York Knicks,Atlanta Hawks,0.5159616746574883
Oklahoma City Thunder,Cleveland Cavaliers,0.5154750138510931
Philadelphia 76ers,Indiana Pacers,0.5833221421327834
Minnesota Timberwolves,Los Angeles Lakers,0.6525180724077501
Denver Nuggets,Memphis Grizzlies,0.8512157255634384
San Antonio Spurs,Miami Heat,0.5853728979302661
New Orleans Pelicans,Chicago Bulls,0.8563331162311625
Detroit Pistons,Orlando Magic,0.7078980557943282
Toronto Raptors,Sacramento Kings,0.9005626745968189
Utah Jazz,Dallas Mavericks,0.8440034137042993
Golden State Warriors,Milwaukee Bucks,0.6919005060296834
Houston Rockets,Oklahoma City Thunder,0.7549479259342348
Boston Celtics,Phoenix Suns,0.9090915147790583
Portland Trail Blazers,Los Angeles Clippers,0.6290115467657222
Detroit Pistons,Atlanta Hawks,0.7344913869441841
Denver Nuggets,Brooklyn Nets,0.7986256980358069
Indiana Pacers,Miami Heat,0.5869741459100807
Washington Wizards,Orlando Magic,0.7848752684843616
Philadelphia 76ers,Charlotte Hornets,0.7615129061086521
Minnesota Timberwolves,Sacramento Kings,0.8026025513936172
Boston Celtics,Utah Jazz,0.606793989528936
Cleveland Cavaliers,Chicago Bulls,0.8095516037927017
Oklahoma City Thunder,Dallas Mavericks,0.8157862571639943
Golden State Warriors,Brooklyn Nets,0.8873423091335463
Milwaukee Bucks,Los Angeles Clippers,0.5455351771939784
Philadelphia 76ers,Memphis Grizzlies,0.879839209077864
Washington Wizards,Miami Heat,0.543189164232428
New Orleans Pelicans,Phoenix Suns,0.9159276873120493
Los Angeles Lakers,Sacramento Kings,0.6293928499496855
Houston Rockets,San Antonio Spurs,0.7772480737168321
Toronto Raptors,New York Knicks,0.8946205291337559
Denver Nuggets,Milwaukee Bucks,0.5306787918360569
Detroit Pistons,Charlotte Hornets,0.5765071719140076
Houston Rockets,Indiana Pacers,0.6860884235144045
Los Angeles Lakers,Atlanta Hawks,0.7428106480422938
New York Knicks,Orlando Magic,0.645188102334895
Boston Celtics,Portland Trail Blazers,0.6058000357697189
Chicago Bulls,Dallas Mavericks,0.5691494371142392
Golden State Warriors,Los Angeles Clippers,0.7345777672094215
Utah Jazz,Memphis Grizzlies,0.8790259944228221
Philadelphia 76ers,Miami Heat,0.6354829431691318
Minnesota Timberwolves,Brooklyn Nets,0.8057970100529684
Oklahoma City Thunder,Phoenix Suns,0.923485988991353
San Antonio Spurs,Sacramento Kings,0.8210141627585807
Toronto Raptors,New Orleans Pelicans,0.6475898728834822
Washington Wizards,Orlando Magic,0.8105011226687734
Cleveland Cavaliers,Charlotte Hornets,0.7073156902864903
Houston Rockets,Denver Nuggets,0.7827139906688726
Golden State Warriors,Atlanta Hawks,0.9135555082904283
Boston Celtics,Chicago Bulls,0.8888417390073364
Miami Heat,Brooklyn Nets,0.7666294482202101
Utah Jazz,Dallas Mavericks,0.8375642950328627
Portland Trail Blazers,Los Angeles Lakers,0.686358634484417
Milwaukee Bucks,Memphis Grizzlies,0.8431487231869358
New Orleans Pelicans,Minnesota Timberwolves,0.5225775731514077
Oklahoma City Thunder,New York Knicks,0.8250829401205857
Philadelphia 76ers,Orlando Magic,0.8424976455844342
San Antonio Spurs,Phoenix Suns,0.8693500025429245
Toronto Raptors,Detroit Pistons,0.7658759677852168
Cleveland Cavaliers,Washington Wizards,0.5740316241212283
Denver Nuggets,Atlanta Hawks,0.841801245515382
Houston Rockets,Golden State Warriors,0.5537156050162264
San Antonio Spurs,Los Angeles Clippers,0.609490849083076
Toronto Raptors,Boston Celtics,0.6158947522432372
Indiana Pacers,Miami Heat,0.5159861981678379
Memphis Grizzlies,Sacramento Kings,0.5012082802116042
Milwaukee Bucks,Chicago Bulls,0.8152414276946076
Portland Trail Blazers,Minnesota Timberwolves,0.5316790094345376
New Orleans Pelicans,New York Knicks,0.8098060397593869
Philadelphia 76ers,Utah Jazz,0.5161267733017266
Washington Wizards,Brooklyn Nets,0.7737722477506579
Boston Celtics,Utah Jazz,0.5012065650047713
Los Angeles Clippers,Brooklyn Nets,0.6960428896182219
Toronto Raptors,Chicago Bulls,0.8925144522830988
Philadelphia 76ers,Charlotte Hornets,0.7175128246896432
Golden State Warriors,Dallas Mavericks,0.8818163919583338
Houston Rockets,Sacramento Kings,0.9291230155170022
Indiana Pacers,Atlanta Hawks,0.843679487070218
Denver Nuggets,New Orleans Pelicans,0.5124737131003441
Los Angeles Lakers,Orlando Magic,0.6159439359811092
Oklahoma City Thunder,Phoenix Suns,0.8750466233596351
Miami Heat,Los Angeles Lakers,0.6567289824051383
Minnesota Timberwolves,Memphis Grizzlies,0.8780209147698218
Orlando Magic,New York Knicks,0.5171096566664712
Golden State Warriors,San Antonio Spurs,0.6638738678900689
Portland Trail Blazers,Washington Wizards,0.5793434030876652
Los Angeles Clippers,Atlanta Hawks,0.7403945192386099
Boston Celtics,Charlotte Hornets,0.7555774606740645
Cleveland Cavaliers,Detroit Pistons,0.6446054747226222
Utah Jazz,Indiana Pacers,0.581456799670727
Dallas Mavericks,Memphis Grizzlies,0.5162833673447584
Denver Nuggets,Milwaukee Bucks,0.5867710733483568
San Antonio Spurs,New Orleans Pelicans,0.5214126594745168
Philadelphia 76ers,Phoenix Suns,0.939446603840837
Oklahoma City Thunder,Sacramento Kings,0.8284023295745562
Miami Heat,Brooklyn Nets,0.7635990837656579
Portland Trail Blazers,New York Knicks,0.7641186377454002
Toronto Raptors,Orlando Magic,0.8953175144526729
Washington Wizards,Los Angeles Clippers,0.5652885509104153
Toronto Raptors,Atlanta Hawks,0.9070874688392198
Boston Celtics,New York Knicks,0.8510109855127579
Chicago Bulls,Phoenix Suns,0.7383741810927521
Indiana Pacers,Charlotte Hornets,0.6743259022005518
Cleveland Cavaliers,Los Angeles Lakers,0.7276661156495624
Dallas Mavericks,Brooklyn Nets,0.5200992232816162
Golden State Warriors,Oklahoma City Thunder,0.6213732360108299
Houston Rockets,Detroit Pistons,0.7972649468053532
Portland Trail Blazers,Milwaukee Bucks,0.6032107922529557
Denver Nuggets,Minnesota Timberwolves,0.5146601668811834
Philadelphia 76ers,New Orleans Pelicans,0.5675558139266215
San Antonio Spurs,Memphis Grizzlies,0.8765840140081366
Utah Jazz,Sacramento Kings,0.8529981310672994
Boston Celtics,Atlanta Hawks,0.8813932411034748
Minnesota Timberwolves,Brooklyn Nets,0.7787218085222718
Miami Heat,Chicago Bulls,0.7767761930607523
Denver Nuggets,Orlando Magic,0.8321945943323446
Houston Rockets,Detroit Pistons,0.8489815053305503
Golden State Warriors,Portland Trail Blazers,0.625758446672615
San Antonio Spurs,Indiana Pacers,0.5313298497470713
Los Angeles Clippers,Memphis Grizzlies,0.8352227115439541
Utah Jazz,Los Angeles Lakers,0.7219173309954889
Milwaukee Bucks,Phoenix Suns,0.8896854676729742
New Orleans Pelicans,New York Knicks,0.7574739152103023
Oklahoma City Thunder,Charlotte Hornets,0.7129813881106785
Philadelphia 76ers,Cleveland Cavaliers,0.5639308418896518
Toronto Raptors,Washington Wizards,0.6848302536198718
Houston Rockets,Cleveland Cavaliers,0.7600044290540477
Boston Celtics,Dallas Mavericks,0.8634578335283608
Golden State Warriors,Sacramento Kings,0.9114357468720988
San Antonio Spurs,Milwaukee Bucks,0.5954232065252721
Minnesota Timberwolves,Chicago Bulls,0.8552529911649509
Oklahoma City Thunder,Denver Nuggets,0.5131260889275342
New Orleans Pelicans,Washington Wizards,0.5704198487015105
Charlotte Hornets,Atlanta Hawks,0.6693246508332343
Philadelphia 76ers,Brooklyn Nets,0.8305835741726891
Detroit Pistons,Phoenix Suns,0.8686671062334115
Los Angeles Lakers,Orlando Magic,0.7291270513041541
New York Knicks,Memphis Grizzlies,0.5610716885365542
Portland Trail Blazers,Los Angeles Clippers,0.6290115467657222
Utah Jazz,Sacramento Kings,0.8489650109528734
Toronto Raptors,Miami Heat,0.6886528485664584
San Antonio Spurs,Chicago Bulls,0.807900862309064
Milwaukee Bucks,Charlotte Hornets,0.6127032473830752
Cleveland Cavaliers,Minnesota Timberwolves,0.5274189814799437
Golden State Warriors,Orlando Magic,0.9078290582494324
Boston Celtics,New Orleans Pelicans,0.6208297653623769
Indiana Pacers,Utah Jazz,0.5082712843398706
Houston Rockets,Washington Wizards,0.806830336894785
Denver Nuggets,Los Angeles Lakers,0.701398107987773
Detroit Pistons,New York Knicks,0.7210578474901066
Toronto Raptors,Memphis Grizzlies,0.9213059439013696
Miami Heat,Atlanta Hawks,0.8125215431507993
Indiana Pacers,Phoenix Suns,0.8700979300002901
Utah Jazz,Brooklyn Nets,0.8295016085856507
Charlotte Hornets,Atlanta Hawks,0.7484067132133962
Houston Rockets,Dallas Mavericks,0.9243732402878149
Los Angeles Clippers,Phoenix Suns,0.8837869259838278
Milwaukee Bucks,Chicago Bulls,0.8152414276946076
San Antonio Spurs,Minnesota Timberwolves,0.5235962916049742
New Orleans Pelicans,Washington Wizards,0.5214813195914245
Oklahoma City Thunder,Cleveland Cavaliers,0.5015117705586145
Philadelphia 76ers,New York Knicks,0.8584232944365284
Portland Trail Blazers,Orlando Magic,0.8479477061575299
Indiana Pacers,Los Angeles Lakers,0.6807717020895935
Los Angeles Clippers,Sacramento Kings,0.7257035088299928
Toronto Raptors,Golden State Warriors,0.5078935752849403
Boston Celtics,Cleveland Cavaliers,0.5491971960841591
Brooklyn Nets,Memphis Grizzlies,0.6658445050616129
Utah Jazz,Charlotte Hornets,0.7159556921428374
Detroit Pistons,Chicago Bulls,0.7834908748406706
Los Angeles Lakers,Dallas Mavericks,0.7239399583735284
New Orleans Pelicans,Miami Heat,0.5843814215809242
Oklahoma City Thunder,Atlanta Hawks,0.8615312390057006
Philadelphia 76ers,Washington Wizards,0.6081359535753164
Orlando Magic,Phoenix Suns,0.5385002134821348
Portland Trail Blazers,Denver Nuggets,0.5033686443647897
Houston Rockets,San Antonio Spurs,0.7772480737168321
Toronto Raptors,Cleveland Cavaliers,0.6662039579595083
Golden State Warriors,Detroit Pistons,0.7608854191653643
Houston Rockets,Chicago Bulls,0.9345856392298506
Boston Celtics,Minnesota Timberwolves,0.6228878622359196
Milwaukee Bucks,New York Knicks,0.7069129060357559
Indiana Pacers,Sacramento Kings,0.8219821351762391
Washington Wizards,Brooklyn Nets,0.7737722477506579
New Orleans Pelicans,Charlotte Hornets,0.6719750837359371
Los Angeles Clippers,Dallas Mavericks,0.7081965598794497
Los Angeles Lakers,Phoenix Suns,0.8485461811273034
Utah Jazz,Miami Heat,0.63370447813428
Philadelphia 76ers,Memphis Grizzlies,0.9118212839997376
Portland Trail Blazers,San Antonio Spurs,0.5350013873295133
Golden State Warriors,Atlanta Hawks,0.8976262338322467
Cleveland Cavaliers,Brooklyn Nets,0.8005120719984055
Oklahoma City Thunder,Detroit Pistons,0.6538150018619293
Houston Rockets,Minnesota Timberwolves,0.7749283786950009
New Orleans Pelicans,Los Angeles Clippers,0.6141045437766834
Washington Wizards,New York Knicks,0.7253749840428361
Toronto Raptors,Denver Nuggets,0.65479329441937
Portland Trail Blazers,Dallas Mavericks,0.8129621688492435
Indiana Pacers,Chicago Bulls,0.8513693142838339
Miami Heat,Orlando Magic,0.8015560208562175
Sacramento Kings,Phoenix Suns,0.5275781570404853
San Antonio Spurs,Utah Jazz,0.5066213835406025
Washington Wizards,Atlanta Hawks,0.806377337004588
Oklahoma City Thunder,Brooklyn Nets,0.8068918218523516
Golden State Warriors,Cleveland Cavaliers,0.6418973278331257
San Antonio Spurs,Los Angeles Lakers,0.6793354376821802
Los Angeles Clippers,Memphis Grizzlies,0.7737598073847537
Milwaukee Bucks,Detroit Pistons,0.5484376098043493
Minnesota Timberwolves,Charlotte Hornets,0.689703681329439
New Orleans Pelicans,Dallas Mavericks,0.8360471933317472
Denver Nuggets,Orlando Magic,0.806930951890792
Toronto Raptors,Philadelphia 76ers,0.5971095661378565
Boston Celtics,New York Knicks,0.8510109855127579
Portland Trail Blazers,Phoenix Suns,0.9206813063665893
Houston Rockets,Utah Jazz,0.7628527367081318
Toronto Raptors,Brooklyn Nets,0.8868623886560285
Oklahoma City Thunder,Chicago Bulls,0.8157088170210866
Denver Nuggets,Charlotte Hornets,0.6649467358494145
Cleveland Cavaliers,Sacramento Kings,0.854953407948972
Philadelphia 76ers,Detroit Pistons,0.6890498210489623
Golden State Warriors,Milwaukee Bucks,0.7229680733009821
New Orleans Pelicans,Memphis Grizzlies,0.8789551878024422
Indiana Pacers,Orlando Magic,0.8134506034307705
Miami Heat,Phoenix Suns,0.8462872765016003
San Antonio Spurs,Los Angeles Lakers,0.7080260739643687
Denver Nuggets,Atlanta Hawks,0.8267152286972583
Boston Celtics,Chicago Bulls,0.8633970779266475
Cleveland Cavaliers,Washington Wizards,0.5401320045117881
Houston Rockets,Dallas Mavericks,0.9294872543773677
Indiana Pacers,Sacramento Kings,0.8401460742994703
Miami Heat,Los Angeles Clippers,0.5635844097040953
Los Angeles Lakers,Memphis Grizzlies,0.687046067568989
New York Knicks,Brooklyn Nets,0.59252653139371
Portland Trail Blazers,Minnesota Timberwolves,0.5245477922219594
New Orleans Pelicans,Detroit Pistons,0.6412180843677959
Charlotte Hornets,New York Knicks,0.5621208078297144
Utah Jazz,San Antonio Spurs,0.5771481261152277
Toronto Raptors,Milwaukee Bucks,0.704101103124687
Boston Celtics,New Orleans Pelicans,0.5528475308562855
Chicago Bulls,Sacramento Kings,0.58622258320339
Dallas Mavericks,Orlando Magic,0.5754138361676147
Denver Nuggets,Memphis Grizzlies,0.8730965854655381
Golden State Warriors,Minnesota Timberwolves,0.6608505591898709
Indiana Pacers,Washington Wizards,0.511547312084134
Miami Heat,Los Angeles Lakers,0.6367461186043843
Cleveland Cavaliers,Milwaukee Bucks,0.5979912650731388
Utah Jazz,Oklahoma City Thunder,0.5465037567970112
Philadelphia 76ers,Detroit Pistons,0.7002719259642696
Los Angeles Clippers,Phoenix Suns,0.7932982125766516
Houston Rockets,Portland Trail Blazers,0.680498918417961
Toronto Raptors,Los Angeles Clippers,0.754994733055985
San Antonio Spurs,Phoenix Suns,0.9142100848205488
Detroit Pistons,Charlotte Hornets,0.5350485346851469
Cleveland Cavaliers,New York Knicks,0.8210747811482584
Dallas Mavericks,Atlanta Hawks,0.5925229503593461
Toronto Raptors,Golden State Warriors,0.5333914463203638
Indiana Pacers,Milwaukee Bucks,0.5342069709589841
